Download Video  0  chunk ( 1  /  17 ) and path is 0  , play_video_id is  0
Download Video  2  chunk ( 27  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 28  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 29  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 30  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 31  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 32  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 33  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 34  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 35  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 36  /  37 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 1  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 2  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 3  /  40 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 12  /  26 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 4  /  40 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 13  /  26 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 5  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 6  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 7  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 8  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 9  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 3  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 10  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 11  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 12  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 13  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 14  /  40 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 14  /  26 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 4  /  17 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 5  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 15  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 16  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 17  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 18  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 6  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 19  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 20  /  40 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 15  /  26 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 21  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 7  /  17 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 8  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 22  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 23  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 9  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 24  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 25  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 10  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 26  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 11  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 27  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 28  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 29  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 30  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 31  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 32  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 12  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 33  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 34  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 35  /  40 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 13  /  17 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 14  /  17 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 36  /  40 ) and path is 1  , play_video_id is  0
Download Video  3  chunk ( 37  /  40 ) and path is 1  , play_video_id is  1
Download Video  3  chunk ( 38  /  40 ) and path is 1  , play_video_id is  1
Download Video  3  chunk ( 39  /  40 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 16  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 17  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 18  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 19  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 20  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 21  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 22  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 23  /  26 ) and path is 0  , play_video_id is  1
Download Video  1  chunk ( 24  /  26 ) and path is 1  , play_video_id is  1
Download Video  1  chunk ( 25  /  26 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 1  /  47 ) and path is 0  , play_video_id is  1
Download Video  4  chunk ( 2  /  47 ) and path is 0  , play_video_id is  1
Download Video  4  chunk ( 3  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 4  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 5  /  47 ) and path is 0  , play_video_id is  1
Download Video  4  chunk ( 6  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 7  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 8  /  47 ) and path is 0  , play_video_id is  1
Download Video  4  chunk ( 9  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 10  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 11  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 12  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 13  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 14  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 15  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 16  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 17  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 18  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 19  /  47 ) and path is 0  , play_video_id is  1
Download Video  4  chunk ( 20  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 21  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 22  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 23  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 24  /  47 ) and path is 0  , play_video_id is  1
Download Video  4  chunk ( 25  /  47 ) and path is 0  , play_video_id is  1
Download Video  4  chunk ( 26  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 27  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 28  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 29  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 30  /  47 ) and path is 1  , play_video_id is  1
Download Video  4  chunk ( 31  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 32  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 33  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 34  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 35  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 36  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 37  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 38  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 39  /  47 ) and path is 1  , play_video_id is  2
Download Video  4  chunk ( 40  /  47 ) and path is 0  , play_video_id is  3
Download Video  4  chunk ( 41  /  47 ) and path is 1  , play_video_id is  3
Download Video  4  chunk ( 42  /  47 ) and path is 1  , play_video_id is  3
Download Video  4  chunk ( 43  /  47 ) and path is 1  , play_video_id is  3
Download Video  4  chunk ( 44  /  47 ) and path is 1  , play_video_id is  3
Download Video  4  chunk ( 45  /  47 ) and path is 0  , play_video_id is  3
Download Video  4  chunk ( 46  /  47 ) and path is 1  , play_video_id is  3
Download Video  4  chunk ( 45  /  47 ) and path is 0  , play_video_id is  4
Download Video  4  chunk ( 46  /  47 ) and path is 1  , play_video_id is  4
